"","SiteID","Usage","date"
"587",1098,3,2022-09-30
"588",1099,1,2022-04-30
"589",1099,2,2022-05-31
"590",1099,17,2022-06-30
"591",1099,41,2022-07-31
"592",1099,43,2022-08-31
"593",1099,32,2022-09-30
"594",1100,6,2022-04-30
"595",1100,14,2022-05-31
"596",1100,39,2022-06-30
"597",1100,61,2022-07-31
"598",1100,65,2022-08-31
"599",1100,30,2022-09-30
"600",1101,0,2022-04-30
"601",1101,0,2022-05-31
"602",1101,0,2022-06-30
"603",1101,0,2022-07-31
"604",1101,0,2022-08-31
"605",1101,0,2022-09-30
"606",1102,0,2022-04-30
"607",1102,57,2022-05-31
"608",1102,0,2022-06-30
"609",1102,0,2022-07-31
"610",1102,0,2022-08-31
"611",1102,38,2022-09-30
"612",1103,3,2022-04-30
"613",1103,4,2022-05-31
"614",1103,6,2022-06-30
"615",1103,8,2022-07-31
"616",1103,9,2022-08-31
"617",1103,5,2022-09-30
"618",1104,0,2022-04-30
"619",1104,0,2022-05-31
"620",1104,0,2022-06-30
"621",1104,0,2022-07-31
"622",1104,0,2022-08-31
"623",1104,0,2022-09-30
"624",1105,3,2022-04-30
"625",1105,6,2022-04-30
"626",1105,3,2022-05-31
"627",1105,3,2022-05-31
"628",1105,0,2022-06-30
"629",1105,5,2022-06-30
"630",1105,3,2022-07-31
"631",1105,53,2022-07-31
"632",1105,6,2022-08-31
"633",1105,58,2022-08-31
"634",1105,5,2022-09-30
"635",1105,37,2022-09-30
"636",1106,0,2022-05-31
"637",1106,4,2022-05-31
"638",1106,25,2022-06-30
"639",1106,29,2022-07-31
"640",1106,56,2022-08-31
"641",1106,43,2022-09-30
"642",1107,4,2022-04-30
"643",1107,4,2022-05-31
"644",1107,6,2022-06-30
"645",1107,5,2022-07-31
"646",1107,6,2022-08-31
"647",1107,7,2022-09-30
"648",1108,4,2022-04-30
"649",1108,4,2022-05-31
"650",1108,6,2022-06-30
"651",1108,6,2022-07-31
"652",1108,7,2022-08-31
"653",1108,5,2022-09-30
"654",1109,0,2022-04-30
"655",1109,0,2022-05-31
"656",1109,0,2022-06-30
"657",1109,48,2022-07-31
"658",1109,0,2022-08-31
"659",1109,10,2022-09-30
"660",1110,24,2022-04-30
"661",1110,5,2022-05-31
"662",1110,5,2022-06-30
"663",1110,5,2022-07-31
"664",1110,6,2022-08-31
"665",1110,4,2022-09-30
"666",1111,7,2022-04-30
"667",1111,8,2022-05-31
"668",1111,11,2022-06-30
"669",1111,10,2022-07-31
"670",1111,11,2022-08-31
"671",1111,9,2022-09-30
"672",1112,6,2022-04-30
"673",1112,29,2022-05-31
"674",1112,134,2022-06-30
"675",1112,71,2022-07-31
"676",1112,49,2022-08-31
"677",1112,0,2022-09-30
"678",1113,5,2022-04-30
"679",1113,5,2022-05-31
"680",1113,54,2022-06-30
"681",1113,37,2022-07-31
"682",1113,38,2022-08-31
"683",1113,32,2022-09-30
"684",1114,0,2022-04-30
"685",1114,0,2022-05-31
"686",1114,0,2022-06-30
"687",1114,0,2022-07-31
"688",1114,0,2022-08-31
"689",1114,0,2022-09-30
"690",1115,0,2022-07-31
"691",1115,36,2022-07-31
"692",1115,32,2022-08-31
"693",1115,24,2022-09-30
"694",1116,4,2022-04-30
"695",1116,5,2022-05-31
"696",1116,7,2022-06-30
"697",1116,4,2022-07-31
"698",1116,5,2022-08-31
"699",1116,5,2022-09-30
"700",1117,0,2022-04-30
"701",1117,19,2022-05-31
"702",1117,0,2022-06-30
"703",1117,0,2022-07-31
"704",1117,0,2022-08-31
"705",1117,0,2022-09-30
"706",1118,4,2022-04-30
"707",1118,8,2022-05-31
"708",1118,7,2022-06-30
"709",1118,16,2022-07-31
"710",1118,10,2022-08-31
"711",1118,14,2022-09-30
"712",1119,3,2022-04-30
"713",1119,3,2022-05-31
"714",1119,4,2022-06-30
"715",1119,2,2022-07-31
"716",1119,7,2022-08-31
"717",1119,6,2022-09-30
"718",1120,4,2022-04-30
"719",1120,2,2022-05-31
"720",1120,0,2022-06-30
"721",1121,0,2022-04-30
"722",1121,2,2022-04-30
"723",1121,0,2022-05-31
"724",1121,0,2022-06-30
"725",1121,0,2022-07-31
"726",1121,0,2022-08-31
"727",1121,0,2022-09-30
"728",1122,4,2022-04-30
"729",1122,5,2022-05-31
"730",1122,35,2022-06-30
"731",1122,38,2022-07-31
"732",1122,40,2022-08-31
"733",1122,33,2022-09-30
"734",1123,3,2022-04-30
"735",1123,6,2022-05-31
